r,l,t
6.0,6,32.795591831207275
6.0,6,32.80090045928955
6.0,6,32.806005239486694
6.0,6,32.811206340789795
6.0,6,32.81627368927002
6.0,6,32.821500301361084
6.0,6,32.82659935951233
6.0,6,32.83173084259033
6.0,6,32.83694648742676
6.0,6,32.842002868652344
15.0,15,32.87459397315979
14.0,14,32.8846538066864
13.0,13,32.89324450492859
13.0,13,32.902745485305786
15.0,15,32.912517786026
15.0,15,32.9225869178772
13.0,13,32.93145704269409
14.0,14,32.94069695472717
15.0,15,32.950400829315186
14.0,14,32.960347175598145
15.0,15,32.970948696136475
14.0,14,32.982828855514526
13.0,13,32.9917356967926
15.0,15,33.001062870025635
13.0,13,33.01000213623047
13.0,13,33.01841902732849
15.0,15,33.030258893966675
15.0,15,33.04025721549988
14.0,14,33.04959797859192
15.0,15,33.05966329574585
15.0,15,33.069896936416626
14.0,14,33.07943820953369
13.0,13,33.08950090408325
13.0,13,33.098437786102295
14.0,14,33.1076397895813
13.0,13,33.11627984046936
13.0,13,33.12502598762512
13.0,13,33.13395977020264
14.0,14,33.144030809402466
15.0,15,33.15525794029236
14.0,14,33.165860414505005
14.0,14,33.17553949356079
15.0,15,33.18578481674194
15.0,15,33.195570945739746
15.0,15,33.205074071884155
14.0,14,33.21407389640808
4.0,4,33.21894025802612
4.0,4,33.22319436073303
4.0,4,33.22747492790222
4.0,4,33.231672048568726
4.0,4,33.23582601547241
4.0,4,33.24001359939575
4.0,4,33.24436974525452
4.0,4,33.24846076965332
4.0,4,33.25263452529907
4.0,4,33.25681710243225
4.0,4,33.260960817337036
4.0,4,33.265249490737915
4.0,4,33.26937294006348
4.0,4,33.27364730834961
4.0,4,33.27769088745117
4.0,4,33.28178119659424
4.0,4,33.28593111038208
4.0,4,33.29022741317749
4.0,4,33.294307708740234
4.0,4,33.29851055145264
4.0,4,33.30270528793335
4.0,4,33.30685567855835
4.0,4,33.31112718582153
4.0,4,33.3153018951416
4.0,4,33.319823265075684
4.0,4,33.32405471801758
4.0,4,33.32827544212341
4.0,4,33.33273673057556
4.0,4,33.336971282958984
4.0,4,33.34107565879822
4.0,4,33.34528040885925
4.0,4,33.349406480789185
4.0,4,33.35377478599548
4.0,4,33.35794544219971
4.0,4,33.36210823059082
4.0,4,33.36647152900696
4.0,4,33.37066602706909
4.0,4,33.37488794326782
4.0,4,33.378976821899414
4.0,4,33.38333868980408
4.0,4,33.387502908706665
4.0,4,33.39167046546936
4.0,4,33.39582586288452
4.0,4,33.40020251274109
4.0,4,33.40430474281311
4.0,4,33.4084153175354
4.0,4,33.41258478164673
4.0,4,33.41689085960388
4.0,4,33.42097473144531
4.0,4,33.42514777183533
4.0,4,33.42940807342529
4.0,4,33.43365001678467
4.0,4,33.437731981277466
4.0,4,33.44192337989807
4.0,4,33.44620656967163
4.0,4,33.45026421546936
4.0,4,33.45433807373047
4.0,4,33.45848059654236
4.0,4,33.4627468585968
4.0,4,33.46711468696594
4.0,4,33.471232891082764
4.0,4,33.47557759284973
4.0,4,33.47973680496216
4.0,4,33.483964920043945
4.0,4,33.48808169364929
4.0,4,33.492273569107056
4.0,4,33.496402978897095
4.0,4,33.500473499298096
4.0,4,33.504558086395264
4.0,4,33.50863075256348
4.0,4,33.51282000541687
4.0,4,33.516955852508545
4.0,4,33.52109718322754
4.0,4,33.525288343429565
4.0,4,33.529425382614136
4.0,4,33.53375840187073
4.0,4,33.53801345825195
4.0,4,33.542190074920654
4.0,4,33.54642629623413
4.0,4,33.55063247680664
4.0,4,33.55495071411133
4.0,4,33.5591344833374
4.0,4,33.56334829330444
4.0,4,33.56751346588135
4.0,4,33.57166576385498
4.0,4,33.5758216381073
4.0,4,33.57995533943176
4.0,4,33.58409667015076
4.0,4,33.588367223739624
4.0,4,33.5925817489624
4.0,4,33.59668684005737
4.0,4,33.60115647315979
4.0,4,33.60530734062195
4.0,4,33.6094651222229
4.0,4,33.61352252960205
4.0,4,33.618327140808105
4.0,4,33.62250828742981
4.0,4,33.62655329704285
4.0,4,33.63082957267761
4.0,4,33.63497042655945
4.0,4,33.638991594314575
4.0,4,33.643123388290405
4.0,4,33.647305965423584
4.0,4,33.651601791381836
4.0,4,33.65581297874451
4.0,4,33.659924030303955
4.0,4,33.66453456878662
4.0,4,33.668885707855225
4.0,4,33.672942876815796
4.0,4,33.67841863632202
4.0,4,33.6834659576416
4.0,4,33.68779635429382
4.0,4,33.69214200973511
4.0,4,33.696399211883545
4.0,4,33.70056390762329
4.0,4,33.704614877700806
4.0,4,33.70870876312256
4.0,4,33.7129168510437
4.0,4,33.717169523239136
4.0,4,33.721380949020386
4.0,4,33.72555088996887
4.0,4,33.72987174987793
4.0,4,33.73408842086792
4.0,4,33.73883414268494
4.0,4,33.743024587631226
19.0,19,33.75672674179077
30.0,30,33.77353858947754
20.0,20,33.78583574295044
19.0,19,33.797293186187744
33.0,33,33.815539836883545
36.0,36,33.835148096084595
27.0,27,33.85030794143677
22.0,22,33.86366581916809
28.0,28,33.88081955909729
20.0,20,33.89280462265015
33.0,33,33.91090536117554
24.0,24,33.9245445728302
24.0,24,33.940348863601685
20.0,20,33.95242381095886
18.0,18,33.963484048843384
18.0,18,33.97421479225159
19.0,19,33.98562717437744
24.0,24,34.00032830238342
19.0,19,34.01154589653015
24.0,24,34.02614974975586
20.0,20,34.03842854499817
23.0,23,34.051349401474
3.0,3,34.05691361427307
3.0,3,34.06054425239563
3.0,3,34.06421160697937
3.0,3,34.0678014755249
3.0,3,34.07163095474243
3.0,3,34.07533288002014
3.0,3,34.07903218269348
3.0,3,34.082674741744995
3.0,3,34.086525201797485
3.0,3,34.09019422531128
3.0,3,34.093881130218506
3.0,3,34.09747338294983
3.0,3,34.10126280784607
3.0,3,34.10484838485718
3.0,3,34.108604431152344
3.0,3,34.1123366355896
3.0,3,34.11667847633362
3.0,3,34.120389461517334
3.0,3,34.124014139175415
3.0,3,34.12768888473511
3.0,3,34.131558895111084
3.0,3,34.13532066345215
3.0,3,34.138999700546265
3.0,3,34.14271378517151
3.0,3,34.146353006362915
3.0,3,34.15007448196411
3.0,3,34.15373349189758
3.0,3,34.157355308532715
3.0,3,34.161447525024414
3.0,3,34.16517210006714
3.0,3,34.16884422302246
3.0,3,34.172497034072876
3.0,3,34.176044940948486
3.0,3,34.179956674575806
3.0,3,34.18350386619568
3.0,3,34.187251567840576
3.0,3,34.19090437889099
3.0,3,34.19466304779053
3.0,3,34.198275566101074
3.0,3,34.20187711715698
3.0,3,34.20550727844238
3.0,3,34.20914316177368
3.0,3,34.21281695365906
3.0,3,34.21641278266907
3.0,3,34.22001385688782
3.0,3,34.223604679107666
3.0,3,34.22746133804321
3.0,3,34.23122692108154
3.0,3,34.2347514629364
3.0,3,34.238314628601074
3.0,3,34.24219274520874
3.0,3,34.24585461616516
3.0,3,34.24967360496521
3.0,3,34.25337862968445
3.0,3,34.25706720352173
3.0,3,34.26079225540161
3.0,3,34.26441764831543
3.0,3,34.26808166503906
3.0,3,34.27171230316162
3.0,3,34.27559566497803
3.0,3,34.27921986579895
3.0,3,34.283008337020874
3.0,3,34.286863803863525
3.0,3,34.290640115737915
3.0,3,34.29435586929321
3.0,3,34.29809045791626
3.0,3,34.30177044868469
3.0,3,34.30562877655029
3.0,3,34.309298515319824
3.0,3,34.31294560432434
3.0,3,34.31657814979553
3.0,3,34.32027554512024
3.0,3,34.32399129867554
3.0,3,34.32780694961548
3.0,3,34.33165717124939
3.0,3,34.33549213409424
3.0,3,34.339171171188354
3.0,3,34.34279155731201
3.0,3,34.346503496170044
3.0,3,34.35011887550354
3.0,3,34.35389184951782
3.0,3,34.35761833190918
3.0,3,34.361294746398926
3.0,3,34.36751866340637
3.0,3,34.37146544456482
3.0,3,34.37537741661072
3.0,3,34.37912845611572
3.0,3,34.38282918930054
3.0,3,34.38648343086243
3.0,3,34.39019513130188
3.0,3,34.39392924308777
3.0,3,34.39773082733154
3.0,3,34.40149259567261
3.0,3,34.405396938323975
3.0,3,34.40914821624756
3.0,3,34.41276001930237
3.0,3,34.41653347015381
3.0,3,34.4201443195343
3.0,3,34.42368984222412
3.0,3,34.42725682258606
3.0,3,34.43110537528992
3.0,3,34.43505334854126
3.0,3,34.43871212005615
3.0,3,34.44247913360596
3.0,3,34.446229219436646
3.0,3,34.450011253356934
3.0,3,34.453709840774536
3.0,3,34.457422733306885
3.0,3,34.46118783950806
3.0,3,34.464922189712524
3.0,3,34.46857690811157
3.0,3,34.472262382507324
3.0,3,34.47597599029541
3.0,3,34.48013949394226
3.0,3,34.48389029502869
3.0,3,34.48779559135437
3.0,3,34.4916570186615
3.0,3,34.49539256095886
3.0,3,34.49937033653259
3.0,3,34.50389814376831
3.0,3,34.50818181037903
3.0,3,34.51228475570679
3.0,3,34.51613688468933
3.0,3,34.51967740058899
3.0,3,34.523552894592285
3.0,3,34.52728629112244
3.0,3,34.5311393737793
3.0,3,34.538562297821045
3.0,3,34.54422879219055
3.0,3,34.548502683639526
3.0,3,34.55301356315613
3.0,3,34.55752182006836
3.0,3,34.56133008003235
3.0,3,34.56525731086731
3.0,3,34.56885838508606
3.0,3,34.57282209396362
3.0,3,34.576460123062134
3.0,3,34.579988956451416
3.0,3,34.583683252334595
3.0,3,34.58737111091614
3.0,3,34.591039180755615
3.0,3,34.5947425365448
3.0,3,34.59842538833618
3.0,3,34.60210633277893
3.0,3,34.608378171920776
3.0,3,34.61297631263733
3.0,3,34.620222330093384
3.0,3,34.62421011924744
3.0,3,34.62810969352722
3.0,3,34.6324348449707
3.0,3,34.640148639678955
3.0,3,34.64378476142883
3.0,3,34.6479971408844
3.0,3,34.65161991119385
3.0,3,34.655332803726196
3.0,3,34.65903186798096
3.0,3,34.66268968582153
3.0,3,34.666516065597534
3.0,3,34.67019534111023
3.0,3,34.673805952072144
3.0,3,34.67998909950256
3.0,3,34.68373656272888
3.0,3,34.68745517730713
3.0,3,34.69144058227539
3.0,3,34.6951048374176
3.0,3,34.698782444000244
3.0,3,34.70249390602112
3.0,3,34.708181381225586
3.0,3,34.71209454536438
3.0,3,34.71580624580383
3.0,3,34.71951222419739
3.0,3,34.723663568496704
3.0,3,34.727466344833374
3.0,3,34.73122572898865
3.0,3,34.73765754699707
3.0,3,34.74176502227783
3.0,3,34.7455837726593
3.0,3,34.749300956726074
3.0,3,34.752994775772095
3.0,3,34.756598711013794
3.0,3,34.76033353805542
3.0,3,34.76396441459656
3.0,3,34.767845153808594
3.0,3,34.77235651016235
3.0,3,34.77604937553406
3.0,3,34.7795684337616
3.0,3,34.78327131271362
3.0,3,34.78705811500549
3.0,3,34.790799617767334
3.0,3,34.79451394081116
3.0,3,34.798322677612305
3.0,3,34.80221629142761
3.0,3,34.80612397193909
3.0,3,34.80986166000366
3.0,3,34.81364893913269
3.0,3,34.81734919548035
3.0,3,34.82111406326294
3.0,3,34.82479667663574
3.0,3,34.829246520996094
3.0,3,34.83335900306702
3.0,3,34.83735990524292
3.0,3,34.84100294113159
3.0,3,34.844643115997314
3.0,3,34.84826588630676
3.0,3,34.85198926925659
3.0,3,34.85559821128845
3.0,3,34.859291315078735
3.0,3,34.86297798156738
3.0,3,34.86683249473572
3.0,3,34.870537757873535
3.0,3,34.874255418777466
3.0,3,34.87794470787048
3.0,3,34.88164448738098
3.0,3,34.88534235954285
3.0,3,34.88893461227417
3.0,3,34.8925678730011
3.0,3,34.896252393722534
3.0,3,34.90016007423401
3.0,3,34.903815031051636
3.0,3,34.90758156776428
3.0,3,34.9114511013031
3.0,3,34.9152991771698
3.0,3,34.9190776348114
3.0,3,34.92280578613281
3.0,3,34.92653560638428
3.0,3,34.93040418624878
3.0,3,34.93412733078003
3.0,3,34.93782711029053
3.0,3,34.941612243652344
3.0,3,34.945404052734375
3.0,3,34.94896578788757
3.0,3,34.95270133018494
3.0,3,34.95637345314026
3.0,3,34.96012783050537
3.0,3,34.96406626701355
3.0,3,34.967670917510986
3.0,3,34.971346616744995
3.0,3,34.97503042221069
3.0,3,34.97873115539551
3.0,3,34.982423543930054
3.0,3,34.986247301101685
3.0,3,34.989980697631836
3.0,3,34.99371790885925
3.0,3,34.99731636047363
3.0,3,35.00114369392395
3.0,3,35.00482797622681
3.0,3,35.00852632522583
3.0,3,35.01234984397888
3.0,3,35.01601028442383
3.0,3,35.01964545249939
3.0,3,35.023523569107056
3.0,3,35.02746558189392
3.0,3,35.03133678436279
3.0,3,35.034985065460205
3.0,3,35.039391040802
3.0,3,35.043140172958374
3.0,3,35.04680013656616
3.0,3,35.05053925514221
3.0,3,35.05427002906799
3.0,3,35.058003187179565
3.0,3,35.06173634529114
3.0,3,35.06538152694702
3.0,3,35.06904864311218
3.0,3,35.0727379322052
3.0,3,35.07648968696594
3.0,3,35.08011555671692
3.0,3,35.08376932144165
3.0,3,35.087600231170654
3.0,3,35.09137010574341
3.0,3,35.09508681297302
3.0,3,35.09888243675232
3.0,3,35.10265827178955
3.0,3,35.10688829421997
3.0,3,35.11105132102966
3.0,3,35.114973306655884
3.0,3,35.11915326118469
3.0,3,35.123480796813965
3.0,3,35.127424001693726
3.0,3,35.13185167312622
3.0,3,35.135974407196045
3.0,3,35.13964009284973
3.0,3,35.14331030845642
3.0,3,35.14705562591553
3.0,3,35.150925636291504
3.0,3,35.15460801124573
3.0,3,35.158555030822754
3.0,3,35.162211894989014
3.0,3,35.16599726676941
3.0,3,35.16963291168213
3.0,3,35.17360544204712
3.0,3,35.177772760391235
3.0,3,35.18184447288513
3.0,3,35.18596315383911
3.0,3,35.190001010894775
3.0,3,35.194141149520874
3.0,3,35.19806098937988
3.0,3,35.202012062072754
3.0,3,35.20612621307373
3.0,3,35.2100088596344
3.0,3,35.214271068573
3.0,3,35.21823024749756
3.0,3,35.222148180007935
3.0,3,35.22651410102844
3.0,3,35.23055028915405
3.0,3,35.23438835144043
3.0,3,35.238303899765015
3.0,3,35.242252349853516
3.0,3,35.246217012405396
3.0,3,35.25027513504028
3.0,3,35.25436496734619
3.0,3,35.258731842041016
3.0,3,35.262654542922974
3.0,3,35.26660966873169
3.0,3,35.27082967758179
3.0,3,35.27488613128662
3.0,3,35.278888463974
3.0,3,35.283159255981445
3.0,3,35.287062883377075
3.0,3,35.29110527038574
3.0,3,35.295339822769165
3.0,3,35.29923868179321
3.0,3,35.30320358276367
3.0,3,35.307373046875
3.0,3,35.311214208602905
3.0,3,35.3153657913208
3.0,3,35.319652795791626
3.0,3,35.32357168197632
3.0,3,35.32792639732361
3.0,3,35.33190202713013
3.0,3,35.33574986457825
3.0,3,35.34063673019409
3.0,3,35.34451937675476
3.0,3,35.348647117614746
3.0,3,35.35260534286499
8.0,8,35.36134099960327
8.0,8,35.368168592453
8.0,8,35.37443995475769
8.0,8,35.38125228881836
8.0,8,35.38796353340149
8.0,8,35.394548177719116
8.0,8,35.40105962753296
8.0,8,35.407798290252686
8.0,8,35.414525270462036
8.0,8,35.42100954055786
8.0,8,35.427531719207764
8.0,8,35.434040546417236
9.0,9,35.44142389297485
8.0,8,35.447842597961426
8.0,8,35.45472860336304
8.0,8,35.46126842498779
8.0,8,35.46792459487915
8.0,8,35.47433137893677
8.0,8,35.48111629486084
8.0,8,35.48803925514221
8.0,8,35.4945273399353
8.0,8,35.50157189369202
8.0,8,35.50834536552429
8.0,8,35.51567220687866
8.0,8,35.522552728652954
8.0,8,35.52925086021423
8.0,8,35.53569459915161
8.0,8,35.5425021648407
8.0,8,35.549442291259766
8.0,8,35.55635404586792
8.0,8,35.56300687789917
8.0,8,35.569807291030884
8.0,8,35.57672929763794
8.0,8,35.58346915245056
8.0,8,35.58982586860657
8.0,8,35.59654712677002
8.0,8,35.6033251285553
8.0,8,35.61008930206299
8.0,8,35.61711668968201
8.0,8,35.62365913391113
8.0,8,35.631019115448
8.0,8,35.63760209083557
8.0,8,35.64399242401123
8.0,8,35.65015625953674
8.0,8,35.65632081031799
8.0,8,35.662602186203
8.0,8,35.668802976608276
8.0,8,35.674861907958984
8.0,8,35.6810941696167
8.0,8,35.68725061416626
9.0,9,35.69415259361267
8.0,8,35.70032715797424
8.0,8,35.70647311210632
8.0,8,35.71269679069519
8.0,8,35.71928024291992
8.0,8,35.72553730010986
8.0,8,35.73228216171265
8.0,8,35.73845100402832
8.0,8,35.74479150772095
8.0,8,35.75095582008362
8.0,8,35.757264137268066
8.0,8,35.76339817047119
8.0,8,35.769582748413086
5.0,5,35.776307344436646
5.0,5,35.78104543685913
5.0,5,35.785791635513306
5.0,5,35.79059195518494
5.0,5,35.79534125328064
5.0,5,35.800213098526
5.0,5,35.80502414703369
5.0,5,35.80985760688782
5.0,5,35.81467914581299
5.0,5,35.8193416595459
5.0,5,35.824259996414185
5.0,5,35.828991174697876
